Name,Description,Campus,Research Categories,Citizenship Req,Preferred Major,School/Dept,Professor,More Info
SCALE HI-AP: System Demonstrators for Energy-Efficient Compute-In-Memory AI Chiplets,"Research Areas: Microelectronics, Heterogeneous Integration & Advanced Packaging, Artificial Intelligence Description The rapid growth of artificial intelligence (AI), especially Large Language Models (LLMs) like GPT, is revolutionizing the way people work, learn, communicate, and access healthcare. Due to the complexity of AI workloads and the limitations of today?? semiconductor hardware, computing with powerful LLMs incurs enormous energy costs and generates significant carbon footprints. This project will develop a holistic computing solution to provide reliable, private, and energy-efficient computing capabilities directly to end users??devices, thereby democratizing access to advanced AI for the broader society. Our team is synergizing semiconductor material advancements with novel chip designs and algorithms to create a new computing platform that will run AI workloads more efficiently than existing silicon-based platforms. Type of work ??The SURF researcher will be mentored by faculty and graduate students to study, investigate, identify, and explore new algorithm-hardware co-design opportunities for the new AI hardware platform under development by the team. ??Develop and iterate new application-specific, system-level demonstrators using the software artifacts and hardware prototypes that the team generated so far. ??Design the PCB board for multi-chiplet prototypes. ??Connect software and hardware demos to broader, interesting real-world applications. ??Software/hardware ""integrated live demo"", using FPGA-PCB test boards. ??Document research results with a target for IEEE/ACM conference publications (student's travel will be sponsored by the faculty).",West Lafayette,"Advanced Packaging, Heterogeneous Integration, Microelectronics",U.S. Citizen,No Major Restriction,Elmore Family School of Electrical and Computer Engineering,Haitong Li,https://engineering.purdue.edu/NanoX/research/
"SCALE HI-AP: Thermometers, Strain Gauges and Defect Detectors for Semiconductors using Light","Who we are??Specere is a latin word (pronounced Spuh-Seer) that means ??o look or behold.??That?? what we do. We look, explore, and examine different ways to: (1) move energy with light and (2) get information from light. More specifically, we are a light lab employing infrared physics to create spectroscopic, thermal, and sensing solutions. Research Topic, Semiconductor Sensing: Semiconductor chips are some of the most technologically advanced machines humanity has ever made.  Like any complex machine, they break.  Methods for predicting where they will break and why they have broken are therefore necessary. You will help us make the thermometers, strain gauges, and ??efect detectors??that are up to the task using some of the world?? most advanced semiconductor characterization tools that we develop here at Purdue. What You??l Do: Team members will be responsible for performing spectroscopic measurements of next generation semiconductor materials, devices, and packages.  Specifically, you will use Raman (sounds like but is not the noodle) and photoluminescence (fancy for glow in the dark) to image the temperature, stress, and presence of defects in everything from commercial logic chips to materials being considered for next generation memory devices. Direct mentoring from Dr. B will build your skills in advanced spectroscopic tools (Raman, photoluminescence), coding, technical communication and professional development. In addition, you will have the chance to participate in writing journal articles and pursuing patents based on your work.",West Lafayette,"Advanced Packaging, Heterogeneous Integration, Material Modeling and Simulation, Microelectronics",U.S. Citizen,No Major Restriction Materials Engineering Physics Mechanical Engineering Electrical Engineering,School of Mechanical Engineering,Thomas Beechem,www.specere.org 
SCALE RH: Advancing X-ray Spectroscopy and Radiation Shielding Solutions,"Dr. Aaron Specht's research focuses on developing innovative technologies for elemental measurements. Most work in his lab focuses on spectroscopy for environmental measurements -- such as through x-ray fluorescence. This cutting-edge technology is intended to improve the assessment of metal exposure and toxicity in both occupational and environmental health contexts with the ultimate goal to improve health through community or public health efforts. Dr. Specht's interdisciplinary research spans exposure assessment, epidemiology, and physics. His projects focus on instrumentation development and optimization for application in broader health studies with a focus on the kinetics, storage, and transport of toxicants in the body for accurate implementation of novel instruments in health studies. He has projects spanning nuclear engineering, working with doctors in a clinic, or measuring live animals in the countryside. A aspect of radiation and electronics centers in his work identifying how electric fields interact with X-ray and gamma shielding design. Utilizing these fields for potential in radiation dose reduction or enhancement in the presence of varying electric fields, which has broad applications in radiation hardening of electronics. Type of work The student will aid in experiment design, data collection, and analysis including: gamma spectroscopy and fitting procedures; basic statistical testing; data cleaning and presentation; experiment design.",West Lafayette,"Microelectronics, Radiation Hardening, Other",U.S. Citizen,No Major Restriction Nuclear Engineering,Health Sciences,Aaron Specht,https://hhs.purdue.edu/directory/aaron-specht/ 
SCALE RH: Development and application of nuclear techniques in human health,"Research Areas: Neutron activation analysis, x-ray fluorescence, synchrotron x-ray techniques, human body composition, neurodegeneration, medical physics, machine learning/ deep learning Description Dr. Nie?? group works on designing radiation instruments and methods to be used in human health. Students in her lab engage in projects aimed at developing neutron and xray technologies to quantify metals and trace elements in human bone and tissues in vivo. They also perform high resolution mapping of elemental concentration and speciation in human and animal brains using cutting-edge synchrotron facilities. These novel techniques (See Figure 1) are used to investigate metal exposure and health, nutrition and health, and metal exposure and neurodegeneration. Figure 1: (See the project description in nanoHUB to view the figure) Nuclear Techniques in Human Health: Synchrotron X-ray Fluorescence, High Yield Deuterium-Deuterium (DD) Neutron Generator, Monte Carlo Simulation, K-x-ray Fluorescence for Bone Metal Quantification, Advanced Photon Source (APS) at Argonne National Laboratory (ANL), In Vivo Neutron Activation Analysis (IVNAA) Students will conduct Monte Carlos simulations, experiments, and data analysis as part of their research. The research focus has recently been broadened to explore the application of machine learning and deep learning for identifying elemental distribution patterns, aiming to investigate how metals and trace elements in the brain are linked to various neuropathies, particularly in the context of Alzheimer?? and Parkinson?? diseases. Type of work Student can select: Conduct Monte Carlo simulations on radiation transportation, radiation instrumentation design and development, perform experiments with the neutron generator, xray devices, and radiation detectors available in her lab, conduct experiments at the advanced photon source (APS) synchrotron facility at Argonne National Lab, x-ray and gamma ray spectroscopy, spectral fitting, statistical data analysis, application of machine learning and deep learning on metal mapping to study metals and neurodegeneration.",West Lafayette,"Biological Characterization and Imaging, Deep Learning, Medical Science and Technology, Radiation Hardening",U.S. Citizen,Nuclear Engineering Physics Radiation Sciences Biomedical Engineering Computer Science,Health Sciences,Linda Nie,https://hhs.purdue.edu/directory/linda-nie/
SCALE RH: Hybrid radiation shielding design and multi-objective optimization,"Research Areas: Microelectronics, Radiation Hardening, radiation shielding, Monte Carlo simulations, Materials Description Since there are multiple types of radiation in space environments, it is important to shield against these different sources. However, different materials have different levels of shielding against different radiation sources. In this project, we will devise a hybrid shielding material to protect against multiple sources of radiation (e.g., neutrons and protons). Enabling simulation tools for this study will primarily include Stopping Range of Ions in Matter (SRIM) and Geant4. Type of work Students will primarily use established simulation tools (such as Geant4 or SRIM) or may perform experiments to assess shielding effectiveness.",West Lafayette,"Material Modeling and Simulation, Microelectronics, Radiation Hardening",U.S. Citizen,No Major Restriction Nuclear Engineering Electrical Engineering Mechanical Engineering Materials Engineering,School of Nuclear Engineering,Stylianos Chatzidakis,N/A
SCALE RH: Modeling radiation effects on semiconductor diodes,"Research Areas: Microelectronics, Radiation Hardening, Semiconductor Modeling, Electron Emission, Space-charge Limited Current, Theory, Device Reliability Description One of the important limits for semiconductor device operation is the space-charge limit, which corresponds to the maximum allowed current before no more electrons can be emitted into a diode. This limit is given by the Mott-Gurney law in a trap-free solid or the Mark-Helfrich law for a solid with traps distributed exponentially in energy. Because ionizing radiation will create electrons and ions in a semiconductor device, this project will involve elucidating the effect of these charges on these limits. This may include using simulations to characterize behavior or adapting analytic theories to include ionizing radiation effects. Figure 1: (go to the project description in nanoHUB to view the image) Fowler-Nordheim (FN) plot demonstrating breakdown of a nanoscale device in atmospheric pressure as indicated by the spike deviating from the FN equation for field emission (in red) [H. Wang, R. S. Brayfield II, A. M. Loveless, A. M. Darr, and A. L. Garner, ??xperimental study of gas breakdown and electron emission in nanoscale gaps at atmospheric pressure,??Appl. Phys. Lett. 120, 124103 (2022)] Type of work Some combination of analytic theory (deriving equations and using Mathematica or MATLAB to analyze performance) and simulation using commercial software depending on students??interest and skillsets.",West Lafayette,"Material Modeling and Simulation, Material Processing and Characterization, Microelectronics, Radiation Hardening",U.S. Citizen,No Major Restriction Mathematics Physics Computer Science,School of Nuclear Engineering,Allen Garner,https://sites.google.com/site/garnerresearchgroup/
SCALE RH: Testing Radiation Effects on Microelectronics,"Research Areas: Microelectronics, Radiation Hardening, Failure Mechanisms, Device Reliability Description Commercial off-the-shelf electronics are appealing for satellite applications because of their high capabilities (e.g., processing speed or memory). While they are generally tested for reliability for terrestrial applications, most manufacturers don?? have time to test or qualify them for space applications. In this project, we??l select a novel commercial device to test, and develop a test procedure for testing. Candidates include various types of read-only memory, microcontroller-based systems, and optical transceivers. While this work will not in itself provide spaceflight qualification, the insights provided will help inform such work at DoD, NASA, and other major entities launching space vehicles. Type of work We will utilize a Subcritical Assembly to expose the devices to a thermal neutron flux. The failure rate of the devices under test controlled by time and neutron flux will be studied. Using previously collected neutron flux information, several devices will be tested at once at varying neutron fluxes and durations. The devices will be initialized, and data will be collected after the irradiation to characterize the degradation. This experiment design allows for observation of varying degradation between different memory capacities, package types, neutron fluxes, and irradiation times. If time and personnel allow, we may also explore the potential effects and benefits of radiation shielding.",West Lafayette,"Microelectronics, Radiation Hardening",U.S. Citizen,No Major Restriction Mathematics Physics Computer Science,Elmore Family School of Electrical and Computer Engineering,Peter Bermel,https://www.scale4me.org/radiation-hardening
"SCALE SoC: SoC design, verification, programming, and test","System on Chip Extension Technologies (SoCET) is a long running chip design team intended primarily for undergraduates to get experience in as many aspects of chip design, fabrication, and test as possible. The team is organized like a small chip design company with sub-teams for logic design, verification, chip-layout, analog design, printed circuit board (PCB) design, test, software, and special research projects in collaboration with research groups in ECE. Special projects include applications in hardware security and GPU design. Based on your interests and background, team leaders will work with you to assign you to an appropriate sub-team or special project. Because of the wide range of projects, the experience and skill requirements for SoCET are flexible. Almost any kind of background in circuit design, logic design, circuit simulation, computer architecture, and microcontroller programming will be useful in some part of the team. For more details on possible projects and sub-teams, see https://engineering.purdue.edu/SoC-Team. Type of work: The expected contributions will depend on the area of the SoCET to which you are assigned. Depending on your background, part of the work will involve learning skills necessary to the assignment project. Possible contributions include creation of subsystems to be used in a future chip design, creation of circuit layouts for an IC design, writing software to be used on an existing System on Chip design, FPGA prototyping, design of printed circuit boards, for IC testing, or participation in research collaborations with other faculty. See https://engineering.purdue.edu/SoC-Team for more examples. To apply: In your application, be sure to talk about this specific SCALE project.  By applying to a SCALE project, you can be considered for other SCALE projects as well; please indicate which of the SCALE projects or project areas you are most interested in.  Be sure to state how you satisfy the project requirements and how this project relates to your academic and career goals. You can view all SCALE SURF projects here: https://nanohub.org/groups/scale/research/purdue/surf",West Lafayette,"Microelectronics, System-on-a-Chip",U.S. Citizen,No Major Restriction Electrical Engineering Computer Engineering Computer Science,Elmore Family School of Electrical and Computer Engineering,Mark Johnson,https://engineering.purdue.edu/SoC-Team
SGLT2 Inhibitors for the Treatment of Cardiomyopathy in Duchennes Muscular Dystrophy,"Duchenne?? Muscular Dystrophy (DMD) patients each carry one of many different X-linked mutations of the dystrophin gene, resulting in no dystrophin synthesis, and it leads to premature loss of ambulatory mobility, respiratory distress, left ventricle (LV) dilation, low left ventricular ejection fraction (LVEF), increase of LV volume, arrhythmia, sudden cardiac death (SCD) and all-cause mortality. Survival is very low after 35 years of age. Ischemic Heart Failure with reduced Ejection Fraction (HFrEF) is common, where patients have increased the incidence of arrhythmia, SCD and all-cause mortality. Despite completely different etiology and rate of disease progression, Duchenne?? cardiomyopathy and HFrEF have similar cardiac dysfunction phenotypes and outcomes. New HF drugs that block the sodium-glucose linked transporter 2 (SGLT2) in the kidney proximal tubules, called SGLT2 inhibitors (SGLT2i), dramatically improves cardiac function, structure, morbidity and mortality in HFrEF patients (without diabetes). SGLT2i treatment of various rodent models of ischemic HFrEF or non-ischemic cardiomyopathy with low LVEF, also produced cardiac function and structural benefits. Mechanistically, SGLT2i blocks increase natriuresis and diuresis, reducing blood volume, peripheral vascular resistance, cardiac preload and afterload leading to improved cardiac performance. SGLT2i treatment elevated production of ketone bodies (beta-hydroxybutyrate) providing an additional source of cardiac fuel. They reduce cardiomyocyte apoptosis, aberrant ion channel expression, increase cell survival and function. The student will work to quantify (i) heart function and structure in the mouse D2.mdx cardiomyopathy model and on (ii) survival and function in IPSC-derived cardiomyocytes with various mutations of dystrophin. The intent is to provide evidence supporting a proof-of-concept study in DMD patients with cardiomyopathy.",West Lafayette,Cardiovascular Disease Research,N/A,No Major Restriction,Weldon School of Biomedical Engineering,Craig Goergen,https://engineering.purdue.edu/cvirl
Seismic behavior of steel to concrete connections,"This project investigates the performance of steel column-to-concrete foundation connections under various loading conditions, including seismic forces. Large-scale experiments and finite element analyses are used to study the behavior of these connections under monotonic and cyclic loading, replicating seismic forces. The findings aim to enhance the design of earthquake-resilient structures by improving the understanding of anchorage behavior during seismic events and developing simplified models to assist engineers in designing safer and more efficient connections. As part of this project, the undergraduate student will assist PhD students with experimental setups and computer simulations. Experimental work will take place at the Bowen Laboratory at Purdue University, providing hands-on experience with cutting-edge research.",West Lafayette,"Composite Materials and Alloys, Energy and Environment, Engineering the Built Environment, Learning and Evaluation, Material Modeling and Simulation, Other",No citizenship requirements,Civil Engineering Mechanical Engineering Mechanical Engineering Technology Aeronautical Engineering Technology Aeronautical and Astronautical Engineering Mechatronics Engineering Technology Materials Engineering Construction Engineering Industrial Engineering Industrial Design Industrial Engineering Technology Nuclear Engineering,Lyles School of Civil Engineering,Akanshu Sharma,https://www.akanshusharma.com/
Solid State Environmentally Friendly Fire Extinguisher Propellant,"With the phase-out of Halon usage for aviation fire protection, the aerospace industry needs to identify solutions that will help protect the cargo bay.  Halon alternative research to date has not identified a system that can be similarly sized to current systems impacting the weight and fuel consumption.  The use of chemically inert gases such as nitrogen or carbon dioxide mitigates regulatory risks such as proposed PFAS (per- and polyfluorinated alkyl substance) restrictions.  The weight and size of inert fire suppression systems using relatively heavy gas cylinders are not attractive for aerospace applications.  The purpose of this project is to identify, synthesize and conduct proof-of-concept testing for solid-state propellants that generate inert gaseous products such as nitrogen and carbon dioxide (with insignificant levels of toxic or harmful bi-products) for use in aircraft cargo bay fire suppression systems. This research topic explores the development of these propellants. The REU student would work closely with Research Scientists and graduate students to design experiments, perform experiments, analyze data, and report/share these results. This project is from the AAMP-UP summer program, which provides STEM undergraduates the chance to participate in national defense and military research. The program is sponsored by the U.S. Army Research Laboratory in Aberdeen, MD. Research categories: advanced materials, combustion, propellants Preferred major(s): No Major Restriction Desired experience: AAMP-UP asks that each student applicant have finished 1 semester of higher education, be currently enrolled in a college or university, and graduate after August 2025. In addition, students must be U.S. Citizens or U.S. Persons. No prior experience with the U.S. military is required. No summer classes are allowed.",West Lafayette,"Ecology and Sustainability, Energy and Environment, Heterogeneous Integration, Material Processing and Characterization, Other",U.S. Citizen,No Major Restriction,School of Mechanical Engineering,Steven Son,https://web.ics.purdue.edu/~sson/Son_Webpage/SonWeb_index.html
Statistical Process Control of Semiconductor Processes & Digital Twins,The student will learn how to operate one or more semiconductor processing tools in the Birck Nanotechnology Center cleanroom.  Once proficient on the tool the student will perform test runs and measure results from the system.  These results will be charted on a control chart using Statistical Process Control techniques.  Once a sufficient number of runs is accomplished the student will work with NanoHub to not only plot the results but also to begin providing input parameters so that a digital twin of the tool can be developed.,West Lafayette,"Microelectronics, Nanotechnology",No citizenship requirements,No Major Restriction,Office of Research,Ronald Reger,https://birck.research.purdue.edu/
String Musician Evaluator,"Motivation: Music students (and professional musicians) often practice long hours in order to perfect their performance skills. The repetitive motions and wrong posture could lead to discomfort or even injuries. This project aims to create a computer tool that can analyze the video captured during a musician's practice and identify inappropriate postures that could lead to injuries. Project goals: The tool has the following functions: * Analyze video during a music student's and detect the body parts (e.g., fingers, arms, elbow, shoulders). * Compare the student's posture and compare it with professional musicians' postures. * Provide suggestions to improve the student's posture. This project will improve an existing project that already provides some of these functions. This project will focus on cello as the first case study. After the solution is mature, the project will expand to other types of musical instruments.",West Lafayette,"Big Data/Machine Learning, Human Factors",No citizenship requirements,Computer Engineering Computer and Information Technology Computer Science,Elmore Family School of Electrical and Computer Engineering,Yung Hsiang Lu,https://ai4musicians.org/
Structure and Function of  G Protein-Coupled Receptor Kinase 3,"Of the seven human G protein-coupled receptor (GPCR) kinases (GRKs), only two have not yet been structurally characterized. GRK3 is expressed broadly, but plays a prominent role in olfactory sensation. Atomic models of GRK3 would be useful to understand how to build selective inhibitors against GRK2, its close homolog, and would provide another tool for us to use in trapping complexes between GRKs and their target GPCRs.",West Lafayette,"Biological Characterization and Imaging, Cardiovascular Disease Research, Cellular Biology",No citizenship requirements,No Major Restriction,Biological Sciences,John Tesmer,N/A
Summer Research on AI in Surgery,"Our team is offering SURF projects for 1-2 highly motivated students with an interest in clinical applications of AI in medicine and surgery and a strong background in either technical fields (i.e., Computer Science, Data Science, Electrical/Computer Engineering) and/or biomedical fields (i.e., Pre-medical Track, Biomedical Engineering). Ideal candidates meet the following expectations: * Basic programming skills (Python, pytorch, numpy) * Interest in clinical applications of Artificial Intelligence * Ability to work independently and in a team setting and communicate effectively The SURF project and specific tasks for the student will be discussed in detail before the start of SURF. Contribution to either of the lab's ongoing research projects is possible. The SURF student(s) will work closely with a graduate mentor during the fellowship and will work on an independent/standalone sub-project. General information about the lab: The Translational Medical Image Computing (TMIC) Lab led by Dr. Kolbinger uses computational approaches to extract actionable knowledge from clinical datasets in the fields of surgery and interventional medicine. Our interdisciplinary research focuses on developing AI-based tools for surgery and evaluating these tools in early-phase clinical trials, thereby translating computational advancements into tangible patient benefits. Ultimately, our goal is to translate technological innovations, such as Artificial Intelligence, into clinically valuable tools for medical decision support. By doing so, our research strives to personalize treatment approaches and make surgeries and medical care safer and more effective. The lab's research addresses two key areas: (1)	Prediction of disease trajectories and outcomes: By predicting disease courses and outcomes from routinely available data acquired at earlier timepoints, we develop prediction models that help allocate the right treatment to the right patient at the right time to minimize complications and maximize patients' quality of life. (2)	Intraoperative decision support for increased safety and accuracy of minimally invasive surgeries: While computational image analysis is already clinically approved in fields like radiology or endoscopy, its application to surgical video has so far resulted in negligible patient benefit. Our team develops applications related to surgical safety and accuracy, for example visualization of vulnerable structures like blood vessels and nerves during surgeries and evaluates these systems in clinical routine. Our overarching goal is to integrate Artificial Intelligence-based image analysis into minimally invasive surgical systems and thereby set new standards for patient care. The TMIC Lab currently comprises three graduate and seven undergraduate researchers. Methodologies that all team members will interact with comprise advanced Artificial Intelligence methods for imaging and tabular data analysis, clinical imaging methods (i.e., MRI, CT, video data), advanced statistics, data visualization, conceptualization of and contribution to user studies and clinical research, and qualitative studies.",West Lafayette,"Big Data/Machine Learning, Cybersecurity, Deep Learning, Learning and Evaluation, Medical Science and Technology",No citizenship requirements,No Major Restriction,Weldon School of Biomedical Engineering,Fiona Kolbinger,https://fionakolbinger.github.io/
Super-Resolution Optical Imaging through Scatter and Optomechanics with Nanostructured Membranes,"Two projects are available. The first project involves the investigation of enhancing optical imaging and sensing capabilities using motion in structured illumination. Conventional optical imaging has a theoretical limit on its spatial resolution, to about one half of the wavelength, and many situations can benefit from higher resolution. In addition, it is challenging to image through scattering media. The project would involve investigating methods of imaging and sensing through scatter involving structured light. Some work will involve performing experiments with lasers and optical imaging elements, with either cameras or single photon counting detectors, and then using the data to extract information about hidden objects. The project could also involve simulations performed using electromagnetic finite element analysis (FEM) methods to concurrently verify experimental results. This work has a diverse set of potential applications including biological imaging, sensing defects in semiconductors, and imaging through fog. The second project relates to optomechanics, here meaning the study of the mechanical properties of light. The group?? work includes theoretical and numerical modeling of light-matter interactions, as well as experimental work involving thin membranes. This line of investigation relates to potential applications in engineering, such as sensing and propulsion, and has impacts in the fundamental sciences regarding the physics of optical forces on small length scales. The undergraduate project relating to this work would likely involve software modeling of electromagnetic and mechanical phenomena, and possibly computational analysis of experimental data.",West Lafayette,"Biological Characterization and Imaging, Composite Materials and Alloys, Deep Learning, Nanotechnology","U.S. Citizen, U.S. Permanent Resident",No Major Restriction,Elmore Family School of Electrical and Computer Engineering,Kevin Webb,N/A
Sustainable Aviation Propulsion Technologies,"Research on batteries and sustainable aviation fuels (SAFs) is critical for advancing sustainable aviation. Battery technology must be developed to improve energy density, reduce weight, and extend operational range for electric aircraft. Innovations in materials and thermal management systems are necessary to enhance safety, reliability, and lifespan. Concurrently, SAFs must be optimized to minimize emissions and meet the performance requirements of different aircraft. This includes biofuels, synthetic fuels, and hydrogen-based options that can replace conventional jet fuel without compromising efficiency. We are recruiting undergraduate researchers to work on various aspects of sustainable propulsion technologies for future aircraft. Advances in these areas are vital to enabling a low-carbon future for aviation, reducing the industry?? environmental footprint, and ensuring long-term sustainability.",West Lafayette,"Energy and Environment, Thermal Technology",No citizenship requirements,No Major Restriction,AAE,Li Qiao,qiaoresearchgroup.com
Synthesis and Characterization of Novel DNA Tetrahedra for Drug Delivery,"One of the challenges posed by miRNA delivery is transfusing the oligos into the cells. Nanomaterials have been proven to decorate cells efficiently via DNA and protein aptamers, increasing the local drug concentration at the cellular membrane. A novel method of delivering miRNA via DNA-cholesterol anchoring improved the delivery efficiency in vitro in HeLa and HAT pathogenic cells. Recently, we have designed a novel DNA tetrahedron that has high potential for miRNA drug delivery due to high loading capacity and rigidity. We are looking for a student to perform the assembly of the structure and test its stability in solution for future design use in drug delivery. The student will be trained in gel electrophoresis and direct light scattering characterization. If the project goes very well, there is a potnetial to use atomic force microscopy and the the structures in vitro and use confocal microscopy.",West Lafayette,"Medical Science and Technology, Nanotechnology",No citizenship requirements,Chremistry Biomedical Engineering Biological Engineering - multiple concentrations Biology Biochemistry Chemical Engineering,Weldon School of Biomedical Engineering,Tamara Kinzer-Ursem,N/A
Test Project 1,Test,West Lafayette,"Advanced Packaging, Material Modeling and Simulation, Material Processing and Characterization, Medical Science and Technology",No citizenship requirements,No Major Restriction,Test,Test Project 1 Test Project 1,N/A
"Thermometers, Strain Gauges and Defect Detectors for Semiconductors using Light","Who we are??Specere is a latin word that means ??o look or behold.??That?? what we do. We look, explore, and examine different ways to: (1) move energy with light and (2) get information from light. More specifically, we are a light lab employing infrared physics to create spectroscopic, thermal, and sensing solutions. Research Topic, Semiconductor Sensing: Semiconductor chips are some of the most technologically advanced machines humanity has ever made.  Like any complex machine, they break.  Methods for predicting where they will break and why they have broken are therefore necessary. You will help us make the thermometers, strain gauges, and ??efect detectors??that are up to the task using some of the world?? most advanced semiconductor characterization tools that we develop here at Purdue. What??You??l Do: Team members will be responsible for performing spectroscopic measurements of next generation semiconductor materials, devices, and packages.  Specifically, you will use Raman (sounds like but is not the noodle) and photoluminescence (fancy for glow in the dark) to image the temperature, stress, and presence of defects in everything from commercial logic chips made by Intel to materials being considered for next generation memory devices. Direct mentoring from Dr. B will build your skills in advanced spectroscopic tools (Raman, photoluminescence), coding, technical communication and professional development. In addition, you will have the chance to participate in writing journal articles and pursuing patents based on your work.",West Lafayette,"Advanced Packaging, Heterogeneous Integration, Material Processing and Characterization, Microelectronics, Nanotechnology, Thermal Technology",No citizenship requirements,No Major Restriction,School of Mechanical Engineering,Thomas Beechem,www.specere.org
Topology Hiding Secure Computation,"Traditionally, secure distributed computing (SDC) systems assume that the communication network is a complete graph; i.e., there are point-to-point (P2P) channels between every pair of nodes. As we consider SDC systems for distributed CPS systems, this assumption does not hold: Due to restrictions such as line of sight (LOS) communication or simply to reduce energy consumption, distributed CPS systems may form connected graphs, but they can be far away from being a clique. Moreover, the communication network could itself contain sensitive information that the system may wish to hide. For instance, consider the following example: Satellites of different government states may wish to communicate important data while keeping the locations and number of their satellites mostly private. Topology hiding computation focuses on the SDC protocol that ensures that the adversary does not know any additional information about the topology of the communication graph beyond what may be computed from the SDC protocol output. The project will focuses on designing and implementing topology hiding secure computation protocols for use in practical CPS.",West Lafayette,Cybersecurity,No citizenship requirements,Computer Science Computer Engineering,Computer Science,Aniket Kate,N/A
Trustworthy Machine Learning,"The recent strides in Machine Learning (ML) innovation has led to large and complex models that permeate nearly every aspect of society. Much like the size and complexity of these ML models, the ML supply chains that produce them are immense and interconnected networks of activities carried out by various actors, involving diverse software stacks, within different jurisdictions, and more. A malicious party who can control any step of the process will have the ability to impact all the following steps and the downstream product with the potential to affect many users. Even worse, machine learning systems are shown to be susceptible to specialized attacks where, for example, a malicious actor can easily extract private information or covertly derail operations. The aim of this project is to create holistic approaches to quantify trust in machine learning systems, incorporating all pillars of trustworthy machine learning. This project is closely advised by Prof. Ghodsi, and will allow students to gain hands-on experience in developing machine learning systems and experimenting with attacks and mitigations for them.",West Lafayette,"Big Data/Machine Learning, Cybersecurity, Deep Learning",No citizenship requirements,No Major Restriction,Elmore Family School of Electrical and Computer Engineering,Zahra Ghodsi,N/A
Tumor suppressive microgels,"Microgels are spherical micron-sized hydrogels increasingly used in a diverse range of applications. For example, microgels can serve as carriers for culturing both adherent cells and suspension cells. Microgels have a higher surface-to-volume ratio than their bulky gel counterparts, improving oxygen/nutrient transport to support cell viability and function. Furthermore, the dimension of microgels enables their minimally invasive and injectable delivery. We will engineer gelatin-based tumor-suppressive microgels (TSM) for delivering anti-cancer therapeutics and culturing tumor-suppressive cells.",Indianapolis,"Cellular Biology, Material Processing and Characterization",No citizenship requirements,No Major Restriction,Weldon School of Biomedical Engineering,Chien-Chi Lin,N/A
Tunable SIW Cavity Coupling Matrix Synthesis and Optimization,"Abstract: Resonant cavities are widely used in tunable filters, diplexers, couplers, and other RF/microwave components [1]. Some of these devices are frequency reconfigurable as they possess a mechanical or electrical tuning mechanism to change the resonant frequency of each cavity. Aligning all the cavities to the same resonant frequency is challenging as their response depends on the other coupled resonators. Hence, an algorithm to determine the optimum point from the given measurement is needed to reduce the time to tune the device. The undergraduate researcher will perform RF simulations and/or measurements of a cavity-based device with a Vector Network Analyzer (VNA). The multi-port coupling matrix of the device will be synthesized from the S-parameter data [2] and then compared to the ideal coupling matrix. An optimization algorithm will be developed to predict the changes needed in the tuning for each cavity. Finally, the undergraduate researcher will integrate the algorithm into the MATLAB open-source ARES tool [3]. Previous RF knowledge is encouraged but not required as the graduate mentor will teach the undergraduate researcher the needed background. [1] M. F. Hagag, R. Zhang and D. Peroulis, ""High-Performance Tunable Narrowband SIW Cavity-Based Quadrature Hybrid Coupler,"" in IEEE Microwave and Wireless Components Letters, vol. 29, no. 1, pp. 41-43, Jan. 2019, doi: 10.1109/LMWC.2018.2884238. [2] P. Zhao, Z. -A. Xiong, J. Fan, Y. Yang and J. Zhou, ""Analytical Multiport Coupling Matrix Synthesis From Partial Fraction Expansions of S-Parameters,"" in IEEE Transactions on Microwave Theory and Techniques, vol. 72, no. 11, pp. 6554-6562, Nov. 2024, doi: 10.1109/TMTT.2024.3393910. [3] J.A. Bola?os-Vargas and Alex D. Santiago-Vargas, ??utomated Radio Evaluation Suite??https://github.com/bolanosv/AutomatedRadioEvaluationSuite PI: Dimitrios Peroulis Mentor: Alex D. Santiago-Vargas",West Lafayette,"Big Data/Machine Learning, Deep Learning, Microelectronics, Other",No citizenship requirements,Electrical Engineering Computer Engineering Computer Science Mathematics Physics,Elmore Family School of Electrical and Computer Engineering,Dimitrios Peroulis,https://scholar.google.com/citations?user=agc3kMMAAAAJ&hl=en&oi=ao
Ultrasound-based assessment of cardiac remodeling in chronic hypertension in pregnancy,"Blood pressure can temporarily decrease during portions of pregnancy in both normo- and hypertensive patients (1). Although blood pressure influences cardiac contractility and fibrosis, few have assessed the potential impacts this may have on cardiac remodeling during pregnancy. The aim of this work is to assess the interplay between pregnancy (volume overload) and chronic hypertension (pressure overload) in left ventricle remodeling and biomechanics.  This project includes a mix of laboratory work and data analysis, including but not limited to small animal ultrasound imaging, blood pressure acquisition, 4D ultrasound and 2D, histology analysis, and data processing. Students should have experience with data wrangling in MATLAB or python, and are ideally comfortable with animal handling.",West Lafayette,Biological Simulation and Technology,No citizenship requirements,No Major Restriction,Weldon School of Biomedical Engineering,Craig Goergen,https://engineering.purdue.edu/cvirl
Underwater Noise Abatement for Offshore Windfarm Installation,"Offshore wind farms are essential for building a future with clean energy.  However, the installation of wind farms requires hammering a huge pile into the seabed, generating strong noises that harm ocean animals. The goal of this project is to design, build, and experimentally validate acoustic metamaterials to mitigate noise for pile installation.",West Lafayette,Material Modeling and Simulation,No citizenship requirements,N/A,School of Mechanical Engineering,Junfei Li,N/A
